FOOD NAME	EHR PATIENT COUNT FOR FOOD NAME	GPT-based ingredient list
Alinazik kebab	0	Eggplant | Ground lamb | Garlic | Yogurt | Butter | Paprika | Tomato | Onion
Alivenci	0	Flour | Eggs | Milk | Sugar | Butter | Yeast | Raisins | Lemon zest | Rum
Alivongvong	0	Pork | shrimp | mung bean noodles | wood ear mushrooms | shallots | garlic | fish sauce | sugar | black pepper | rice paper
Alkaki	0	Beef | Tomatoes | Onions | Green peppers | Spices
Alkaline noodles	0	Wheat flour | Water | Salt | Alkaline mineral water
Allahabadi cake	0	Flour | Sugar | Butter | Eggs | Milk | Baking powder | Vanilla essence | Almonds | Pistachios | Saffron strands
Allerheiligenstriezel	0	Flour | Milk | Butter | Sugar | Eggs | Yeast | Raisins | Almonds
Almogrote	0	Tomatoes | Red bell peppers | Garlic | Olive oil | Dried chili peppers | Cheese
Almojábana	0	Corn flour|Cheese|Eggs|Butter|Sugar|Salt|Anise seeds
Almond bark	8	Almonds|Sugar|Cocoa butter|Whole milk|Soy lecithin|Vanillin
Almond butter	11998	Almonds | Salt
Almond chicken	250	Chicken breast | Almonds | Soy sauce | Cornstarch | Egg | Oil | Green onions | Garlic | Ginger | Chicken broth | Rice vinegar | Sugar | Salt | Pepper
Almond Roca	1	Butter | Sugar | Almonds | Chocolate
Almond tofu	3	Almonds | Sugar | Gelatin | Water | Almond extract
Aloo chap	0	Potatoes | Onions | Green chilies | Ginger | Garlic | Cilantro | Spices
Aloo chokha	0	Potatoes | Tomatoes | Onions | Green chilies | Mustard oil | Salt
Aloo gobhi	0	Potatoes | Cauliflower | Onion | Tomatoes | Ginger | Garlic | Green chilies | Turmeric | Cumin seeds | Coriander powder | Garam masala | Salt | Oil
Aloo gosht	0	Potatoes | Lamb | Onions | Tomatoes | Ginger | Garlic | Green chilies | Spices
Aloo mutter	0	Potatoes | Green peas | Onion | Tomato | Ginger | Garlic | Green chili | Cumin seeds | Turmeric powder | Red chili powder | Garam masala | Coriander powder | Salt | Oil | Water
Aloo paratha	0	Potatoes | Whole wheat flour | Ghee | Green chilies | Cilantro | Spices
Aloo pie	0	Potatoes | Flour | Turmeric | Cumin | Coriander | Chili Powder | Salt | Water | Oil
Aloo tama	0	Potatoes | Bamboo shoots | Black-eyed peas | Mustard oil | Turmeric | Cumin | Coriander | Ginger | Garlic | Green chilies | Tomatoes | Salt
Aloo tikki	0	Potatoes | Green peas | Ginger | Green chili | Coriander | Cumin | Garam masala | Chaat masala | Corn flour | Oil
Alpal	3	Potatoes | Olive oil | Onion | Garlic | Paprika | Salt | Pepper
Alphabet pasta	1	Durum wheat semolina | Water
Altoids	343	Sugar | Gum Arabic | Artificial Flavors | Gelatin
Altoona-style pizza	0	Pizza dough | Pizza sauce | Provolone cheese | White cheddar cheese | Mozzarella cheese | Parmesan cheese | Olive oil | Italian seasoning | Garlic powder | Crushed red pepper flakes | Oregano
Alu chat	0	Potatoes | Onions | Tomatoes | Green chilies | Tamarind chutney | Chaat masala | Cumin powder | Coriander leaves
Alu Potala Rasa	0	Potatoes | Pointed Gourd | Onion | Tomato | Ginger | Garlic | Cumin Seeds | Turmeric Powder | Red Chili Powder | Coriander Powder | Garam Masala | Salt | Oil | Water
Aluwa	0	Rice flour|Sugar|Coconut milk|Cardamom pods|Cashew nuts|Ghee
Amanattō	0	Soybeans|Sugar|Water
Amandine	24	Almonds | Butter | Sugar | Flour | Eggs | Vanilla | Salt
Amaretti di Saronno	0	Almonds|Sugar|Egg whites|Apricot kernels|Amaretto liqueur
Amatriciana sauce	0	Tomatoes | Guanciale | Pecorino Romano cheese | Black pepper | Onion
Amazake	2	Rice | Koji | Water
Amba	225	Mangoes | Vinegar | Salt | Turmeric | Mustard seeds | Fenugreek seeds | Chili peppers | Asafoetida
Ambrosia	264	Oranges|Pineapple|Coconut|Marshmallows|Whipped cream
Ambuyat	0	Sago starch | Water
American chop suey	2	Ground beef | Onion | Green bell pepper | Garlic | Tomato sauce | Worcestershire sauce | Macaroni | Salt | Pepper
American fried rice	0	Cooked rice | Eggs | Chicken | Onion | Green peas | Carrots | Garlic | Soy sauce | Ketchup | Sugar | Salt | Oil
American goulash	3	Ground beef | Onion | Garlic | Tomato sauce | Diced tomatoes | Elbow macaroni | Beef broth | Italian seasoning | Paprika | Salt | Pepper
Amish friendship bread	0	Flour | Sugar | Milk | Oil | Eggs | Vanilla pudding mix | Baking powder | Baking soda | Cinnamon | Salt
Amish preaching soup	0	Chicken | Celery | Carrots | Onion | Potatoes | Noodles | Salt | Pepper | Water
Amlu	5	Almonds|Argan oil|Honey
Ammonia cookie	0	Ammonium carbonate | Sugar | Butter | Flour | Egg | Vanilla extract
Ampaw	0	Rice | Sugar | Oil
Amplang	0	Fish | Tapioca flour | Salt | Sugar | Garlic | Shallots | Pepper | Water
Amuse-bouche	0	Foie gras|Caviar|Truffle|Smoked salmon|Foam
An-doughnut	0	Flour | Sugar | Yeast | Milk | Butter | Eggs | Salt
Anadama bread	0	Cornmeal | Flour | Molasses | Yeast | Water | Salt | Butter
Analı kızlı soup	0	Ground beef|Onion|Tomato paste|Red pepper flakes|Butter|Flour|Yogurt|Egg|Lemon juice|Salt|Black pepper
Anarsa	0	Rice flour | Jaggery | Ghee | Poppy seeds
Andong jjimdak	0	Chicken | Potatoes | Carrots | Onions | Green onions | Rice cakes | Soy sauce | Sugar | Mirin | Garlic | Ginger | Sesame oil | Sesame seeds | Red chili flakes | Black pepper | Water
Andouille	31	Pork | Garlic | Pepper | Onions | Wine
Andrajos	0	Flour | Water | Olive oil | Salt | Garlic | Paprika | Bay leaf | Chicken broth | Chicken pieces | Chorizo | Onion | Tomato | Red bell pepper | Green beans
Anelli	9	Anelli | Olive oil | Onion | Garlic | Tomato paste | White wine | Chicken broth | Salt | Pepper | Parmesan cheese | Parsley
Ang ku kueh	0	Glutinous rice flour | Sweet potato | Sugar | Water | Mung bean paste | Food coloring
Angel cake	26	Cake flour | Granulated sugar | Egg whites | Cream of tartar | Vanilla extract | Salt
Angel food cake	673	Egg whites | Sugar | Cake flour | Cream of tartar | Vanilla extract | Salt
Angel wings	99	Flour | Butter | Sour cream | Salt | Powdered sugar | Vanilla extract | Oil for frying
Angels on horseback	0	Oysters | Bacon
Angoori rasmalai	0	Milk | Sugar | Cardamom | Saffron | Pistachios | Almonds
Animal cracker	278	Enriched flour | Sugar | Vegetable oil | Baking soda | Ammonium bicarbonate | Salt | Natural flavor | Soy lecithin
Anise of Flavigny	0	Anise seeds | Sugar | Flavorings
Anju	722	Chicken | Pork | Beef | Seafood | Vegetables | Tofu | Rice | Noodles | Kimchi | Pickles | Fruits | Cheese | Crackers | Peanuts | Dried Squid | Dried Fish | Dried Seaweed | Dried Fruits | Nuts | Popcorn | French Fries | Fried Chicken | Fried Tofu | Fried Fish | Fried Squid | Fried Vegetables | Fried Rice | Fried Noodles | Fried Cheese | Fried Pickles | Fried Seafood | Fried Pork | Fried Beef | Fried Crackers | Fried Peanuts | Fried Fruits | Fried Nuts | Fried Popcorn | Fried French Fries | Fried Chicken Wings | Fried Chicken Feet | Fried Chicken Skin | Fried Chicken Gizzards | Fried Chicken Liver | Fried Chicken Hearts | Fried Chicken Intestines | Fried Chicken Heads | Fried Chicken Necks | Fried Chicken Bones | Fried Chicken Cartilage | Fried Chicken Fat | Fried Chicken Blood | Fried Chicken Eggs | Fried Chicken Embryos | Fried Chicken Feathers | Fried Chicken Beaks | Fried Chicken Claws | Fried Chicken Combs | Fried Chicken Wattles | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs | Fried Chicken Spurs
Ankapur chicken	0	Chicken | Onions | Tomatoes | Ginger | Garlic | Green chilies | Yogurt | Turmeric | Red chili powder | Garam masala | Coriander powder | Cumin powder | Fresh coriander leaves
Ankimo	0	Monkfish liver | Salt | Rice vinegar | Soy sauce | Sugar
Anmitsu	0	Red bean paste | Mochi | Agar agar jelly | Fruit cocktail | Sweet syrup
Anpan	2	Flour | Sugar | Yeast | Red bean paste
Ant egg soup	0	Ant eggs | Water | Salt | Seasonings
Anticucho	0	Beef heart | Aji panca | Garlic | Cumin | Vinegar | Soy sauce | Vegetable oil | Salt
Antidoron	0	Flour | Water | Salt | Yeast
Antipasto	203	Salami | Prosciutto | Pepperoni | Cheese | Olives | Artichoke hearts | Roasted red peppers | Marinated mushrooms | Marinated vegetables | Capers
Anzac biscuit	0	Rolled oats | Flour | Sugar | Desiccated coconut | Butter | Golden syrup | Baking soda | Boiling water
Apam balik	0	Flour|Sugar|Eggs|Baking powder|Salt|Water|Butter|Sweet corn kernels|Peanuts|Sugar syrup
Apam johol	0	Rice flour | Coconut milk | Sugar | Yeast
Aparon	0	Chicken | Coconut milk | Lemongrass | Galangal | Kaffir lime leaves | Shallots | Garlic | Red chili peppers | Fish sauce | Lime juice | Sugar | Salt
Apas	667	Flour | Sugar | Butter | Baking powder | Milk
Apfelküchle	0	Apples | Flour | Sugar | Eggs | Milk | Cinnamon | Salt
Apio	386	Celery | Carrots | Green bell pepper | Red bell pepper | Onion | Garlic | Olive oil | Vinegar | Salt | Pepper
Aplets & Cotlets	0	Apples|Apricots|Sugar|Corn syrup|Walnuts|Pectin|Citric acid
Apohtin	0	Chicken | Coconut milk | Lemongrass | Galangal | Kaffir lime leaves | Shallots | Garlic | Red chili peppers | Fish sauce | Lime juice | Sugar | Salt
Appam	0	Rice flour | Coconut milk | Sugar | Yeast | Salt
Apple bread	94	Apples|Flour|Sugar|Butter|Eggs|Baking powder|Cinnamon|Salt
Apple butter	1051	Apples | Sugar | Cinnamon | Nutmeg | Allspice
Apple cake	69	Apples | Flour | Sugar | Eggs | Butter | Baking powder | Cinnamon | Salt
Apple cheese	460	Apples | Cheese
Apple crisp	1154	Apples | Sugar | Flour | Oats | Butter | Cinnamon
Apple dumpling	16	Apples | Sugar | Cinnamon | Butter | Pastry dough
Apple pie	1837	Apples | Sugar | Cinnamon | Butter | Flour | Salt | Lemon juice
Apple sauce	31017	Apples | Sugar | Water | Lemon juice
Apple soup	29	Apples | Onion | Celery | Chicken broth | Heavy cream | Butter | Salt | Pepper
Apple strudel	47	Apples | Sugar | Cinnamon | Raisins | Lemon zest | Bread crumbs | Butter | Phyllo dough
Apples and honey	13	Apples | Honey
Aprapransa	0	Chicken | Rice | Palm oil | Onions | Tomatoes | Scotch bonnet peppers | Ginger | Garlic | Salt | Seasoning cubes
Arab salad	0	Tomatoes | Cucumbers | Red onion | Parsley | Mint | Lemon juice | Olive oil | Salt | Pepper
Arabic coffee	42	Coffee beans|Cardamom pods|Water|Sugar (optional)
Arabic rice	9	Basmati rice | Chicken broth | Onion | Garlic | Olive oil | Salt | Black pepper | Cumin | Turmeric | Cinnamon
Arabu	0	Lamb | Rice | Onion | Pine nuts | Raisins | Spices
Arancini	3	Arborio rice | Mozzarella cheese | Breadcrumbs | Eggs | Parmesan cheese | Marinara sauce
Arany galuska	0	Flour | Eggs | Milk | Sugar | Butter | Walnuts | Raisins | Cinnamon | Lemon zest | Salt
Arctic roll	0	Sponge cake | Raspberry jam | Vanilla ice cream
Areias	2	Flour | Sugar | Butter | Egg yolks | Cinnamon
Arem-arem	0	Rice | Coconut milk | Salt | Palm sugar | Banana leaves
Arepa	17	Cornmeal | Water | Salt
Argan oil	409	Argan oil
Argentine pizza	0	Pizza dough | Tomato sauce | Mozzarella cheese | Oregano | Olive oil
Arisa pitha	0	Rice flour | Jaggery | Grated coconut | Black sesame seeds | Water | Salt
Ariselu	0	Rice flour | Jaggery | Ghee | Oil | Cardamom pods | Water
Arizona cheese crisp	0	Flour | Water | Salt | Shortening | Grated cheese
Arnavut ciğeri	0	Beef liver | Flour | Olive oil | Butter | Onion | Red pepper flakes | Salt | Black pepper
Arook	1	Rice|Chicken|Onions|Tomatoes|Garlic|Ginger|Green chilies|Coriander leaves|Lemon juice|Oil|Salt|Water
Arrabbiata sauce	1	Tomatoes | Garlic | Red chili peppers | Olive oil | Salt | Pepper
Arròs negre	0	Short-grain rice | Squid ink | Squid | Onion | Garlic | Tomato | Olive oil | Salt | Paprika | Fish or seafood broth
Arrosticini	0	Lamb meat | Salt | Olive oil | Rosemary
Arroz a la cubana	0	Rice | Fried egg | Tomato sauce | Fried plantains
Arroz a la valenciana	0	Rice | Chicken | Chorizo | Bell peppers | Peas | Tomato | Onion | Garlic | Saffron | Olive oil | Salt | Pepper
Arroz caldo	1	Chicken | Rice | Ginger | Garlic | Onion | Fish sauce | Hard-boiled eggs | Spring onions | Fried garlic | Calamansi or lemon
Arroz carreteiro	0	Rice | Beef | Bacon | Sausage | Onion | Garlic | Bell pepper | Tomato | Green onions | Parsley
Arroz chaufa	0	Rice | Soy sauce | Ginger | Garlic | Scallions | Eggs | Chicken | Pork | Shrimp | Peas | Carrots | Bell peppers | Green onions
Arroz con gandules	1	Rice | Pigeon peas | Sofrito | Sazon | Ham | Bacon | Olives | Capers | Tomato sauce | Water
Arroz con pollo	2	Chicken | Rice | Onion | Garlic | Bell pepper | Tomato | Peas | Saffron | Paprika | Chicken broth
Arroz de fríjol cabecita negra	0	Rice | Black-eyed peas | Bacon | Onion | Garlic | Bell pepper | Tomato | Cilantro | Scallions | Salt | Pepper | Olive oil
Arroz gordo	0	Rice | Chinese sausage | Portuguese sausage | Char siu pork | Duck | Chicken | Shrimp | Clams | Eggs | Olives | Pickled chilies | Cilantro
Arroz junto	0	Rice | Beans | Pork | Plantains | Cassava | Sweet potato | Pumpkin | Corn | Onion | Garlic | Bell pepper | Tomato | Cilantro | Oregano | Salt | Oil
Arsik	0	Carp fish | turmeric | candlenut | ginger | galangal | lemongrass | kaffir lime leaves | salt | sugar | cooking oil | water
Artichoke dip	639	Artichokes | Cream cheese | Mayonnaise | Parmesan cheese | Garlic | Lemon juice | Salt | Pepper
Asado roll	0	Beef flank | Bacon | Carrots | Pickles | Hard-boiled eggs | Bell peppers | Onions | Olives | Spices
Asam pedas	0	Tamarind | Chili | Fish | Tomato | Okra | Eggplant | Lemongrass | Ginger | Garlic | Shallots | Belacan
Asfanakhyh	0	Lamb | Onion | Garlic | Tomato paste | Chickpeas | Cilantro | Parsley | Cumin | Paprika | Turmeric | Salt | Pepper
Ash cake	0	Cornmeal | Water | Salt
