Wikipedia food name	milk	eggs	fish	shellfish	tree nuts	peanuts	wheat	soy
Afritada	0	0	0	0	0	0	0	0
Agbeli Kaklo	0	0	0	0	0	0	0	0
Agege bread	0	0	0	0	0	0	1	0
Agemochi	0	0	0	0	0	0	0	1
Äggakaka	1	1	0	0	0	0	1	0
Aggala	1	1	0	0	0	0	1	0
Agnolini	0	1	0	0	0	0	1	0
Agnolotti	1	1	0	0	0	0	1	0
Aguachile	0	0	1	0	0	0	0	0
Aguadito de pollo	0	0	0	0	0	0	0	0
Agwi-jjim	0	0	1	0	0	0	0	1
Ahriche	0	0	0	0	1	0	1	0
Aila	0	0	0	0	0	0	1	0
Aioli	0	1	0	0	0	0	0	0
Aïoli garni	0	1	0	0	0	0	0	0
Ais kacang	1	0	0	0	0	0	0	0
Aish as-Saraya	1	0	0	0	1	0	1	0
Aiyu jelly	0	0	0	0	0	0	0	0
Ajapsandali	0	0	0	0	0	0	0	0
Ajdov Kruh	0	0	0	0	0	0	1	0
Ajdovi žganci	0	0	0	0	0	0	1	0
Ajethna	0	0	0	0	0	0	0	0
Ají	0	0	0	0	0	0	0	0
Ají de gallina	1	1	0	0	1	0	1	0
Ajiaco	1	0	0	0	0	0	0	0
Ajika	0	0	0	0	0	0	0	0
Ajilimójili	0	0	0	0	0	1	0	0
Ajoblanco	0	0	0	0	1	0	1	0
Ajvar	0	0	0	0	0	0	0	0
Akanés	0	0	0	0	0	0	0	0
Akara	0	0	0	0	0	0	0	0
Akashiyaki	0	1	0	0	0	0	1	1
Akhni	1	0	0	0	0	0	0	0
Akhuni	0	0	0	0	0	0	0	0
Akki rotti	0	0	0	0	0	0	1	0
Akok	1	0	0	0	0	0	1	0
Akpan	0	0	0	0	0	0	1	0
Akuri	0	1	0	0	0	0	0	0
Al pastor	0	0	0	0	0	0	0	0
Alaea salt	0	0	0	0	0	0	0	0
Alambre	1	0	0	0	0	0	1	0
Alaminos longganisa	0	0	0	0	0	0	0	0
Alaskan ice cream	0	0	1	0	0	0	0	0
Albaloo polo	0	0	0	0	0	0	0	0
Albap	0	1	0	0	0	0	0	1
Alcapurria	0	0	0	0	0	0	0	0
Alcohol-infused whipped cream	1	0	0	0	0	0	0	0
Alegría	0	0	0	0	0	1	0	0
Alexandertorte	0	1	0	0	1	0	0	0
Alfajor	1	0	0	0	0	0	1	0
Algerian baklawa	0	0	0	0	1	0	1	0
Algerian couscous	0	0	0	0	0	0	1	0
Alheira	0	0	0	0	0	0	1	0
Alicot	0	0	0	0	0	0	0	0
Aligot	1	0	0	0	0	0	0	0
Aligue fried rice	0	1	0	1	0	0	0	1
Alinazik kebab	1	0	0	0	0	0	0	0
Alivenci	1	1	0	0	0	0	1	0
Alivongvong	0	0	1	1	0	0	0	0
Alkaki	0	0	0	0	0	0	0	0
Alkalinenoodles	0	0	0	0	0	0	1	0
Allahabadi cake	1	1	0	0	1	0	1	0
Allerheiligenstriezel	1	1	0	0	1	0	1	0
Almogrote	1	0	0	0	0	0	0	0
Almojábana	1	1	0	0	0	0	1	0
Almond bark	1	0	0	0	1	0	0	1
Almond butter	0	0	0	0	1	0	0	0
Almond chicken	0	1	0	0	1	0	0	1
Almond Roca	1	0	0	0	1	0	0	0
Almond tofu	0	0	0	0	1	0	0	0
Aloo chap	0	0	0	0	0	0	0	0
Aloo chokha	0	0	0	0	0	0	0	0
Aloo gobhi	0	0	0	0	0	0	0	0
Aloo gosht	0	0	0	0	0	0	0	0
Aloo mutter	0	0	0	0	0	0	0	0
Aloo paratha	0	0	0	0	0	0	1	0
Aloo pie	0	0	0	0	0	0	1	0
Aloo tama	0	0	0	0	0	0	0	0
Aloo tikki	0	0	0	0	0	0	1	0
Alpal	0	0	0	0	0	0	0	0
Alphabet pasta	0	0	0	0	0	0	1	0
Altoids	0	0	0	0	0	0	0	0
Altoona-style pizza	1	0	0	0	0	0	1	0
Alu chat	0	0	0	0	0	0	0	0
Alu Potala Rasa	0	0	0	0	0	0	0	0
Aluwa	0	0	0	0	1	0	0	0
Amanattō	0	0	0	0	0	0	0	1
Amandine	0	1	0	0	1	0	1	0
Amaretti di Saronno	0	1	0	0	1	0	0	0
Amatriciana sauce	0	0	0	0	0	0	0	0
Amazake	0	0	0	0	0	0	0	0
Amba	0	0	0	0	0	0	0	0
Ambrosia	1	0	0	0	1	0	0	0
Ambuyat	0	0	0	0	0	0	0	0
American chop suey	0	0	0	0	0	0	1	0
American fried rice	0	1	0	0	0	0	0	1
American goulash	0	0	0	0	0	0	1	0
Amish friendship bread	1	1	0	0	0	0	1	0
Amish preaching soup	0	0	0	0	0	0	1	0
Amlu	0	0	0	0	1	0	0	0
Ammonia cookie	0	1	0	0	0	0	1	0
Ampaw	0	0	0	0	0	0	0	0
Amplang	0	0	1	0	0	0	0	0
Amuse-bouche	0	0	1	0	0	0	0	0
An-doughnut	1	1	0	0	0	0	1	0
Anadama bread	0	0	0	0	0	0	1	0
Analı kızlı soup	1	1	0	0	0	0	1	0
Anarsa	0	0	0	0	0	0	1	0
Andong jjimdak	0	0	0	0	0	0	0	1
Andouille	0	0	0	0	0	0	0	0
Andrajos	0	0	0	0	0	0	1	0
Anelli	0	0	0	0	0	0	1	0
Ang ku kueh	0	0	0	0	0	0	1	0
Angel cake	0	1	0	0	0	0	1	0
Angel food cake	0	1	0	0	0	0	1	0
Angel wings	0	0	0	0	0	0	1	0
Angels on horseback	0	0	1	0	0	0	0	0
Angoori rasmalai	1	0	0	0	1	0	0	0
Animal cracker	0	0	0	0	0	0	1	1
Anise of Flavigny	0	0	0	0	0	0	0	0
Anju	0	0	1	1	1	1	1	0
Ankapur chicken	1	0	0	0	0	0	0	0
Ankimo	0	0	1	0	0	0	0	1
Anmitsu	0	0	0	0	0	0	0	0
Anpan	0	0	0	0	0	0	1	0
Ant egg soup	0	0	0	0	0	0	0	0
Anticucho	0	0	0	0	0	0	0	1
Antidoron	0	0	0	0	0	0	1	0
Antipasto	1	0	0	0	0	0	0	0
Anzac biscuit	0	0	0	0	1	0	1	0
Apam balik	0	1	0	0	0	1	1	0
Apam johol	0	0	0	0	0	0	1	0
Aparon	0	0	1	0	0	0	0	0
Apas	1	0	0	0	0	0	1	0
Apfelküchle	1	1	0	0	0	0	1	0
Apio	0	0	0	0	0	0	0	0
Aplets & Cotlets	0	0	0	0	1	0	0	0
Apohtin	0	0	1	0	0	0	0	0
Appam	0	0	0	0	0	0	1	0
Apple bread	0	1	0	0	0	0	1	0
Apple butter	0	0	0	0	0	0	0	0
Apple cake	0	1	0	0	0	0	1	0
Apple cheese	1	0	0	0	0	0	0	0
Apple crisp	0	0	0	0	1	0	1	0
Apple dumpling	0	0	0	0	0	0	1	0
Apple pie	1	0	0	0	0	0	1	0
Apple sauce	0	0	0	0	0	0	0	0
Apple soup	1	0	0	0	0	0	0	0
Apple strudel	0	0	0	0	1	0	1	0
Apples and honey	0	0	0	0	0	0	0	0
Aprapransa	0	0	0	0	0	0	0	0
Arab salad	0	0	0	0	0	0	0	0
Arabic coffee	0	0	0	0	0	0	0	0
Arabic rice	0	0	0	0	0	0	0	0
Arabu	0	0	0	0	1	0	0	0
Arancini	1	1	0	0	0	0	1	0
Arany galuska	1	1	0	0	1	0	1	0
Arctic roll	1	1	0	0	0	0	1	0
Areias	0	1	0	0	0	0	1	0
Arem-arem	0	0	0	0	0	0	0	0
Arepa	0	0	0	0	0	0	1	0
Argan oil	0	0	0	0	1	0	0	0
Argentine pizza	1	0	0	0	0	0	1	0
Arisa pitha	0	0	0	0	0	0	1	0
Ariselu	0	0	0	0	0	0	1	0
Arizona cheese crisp	1	0	0	0	0	0	1	0
Arnavut ciğeri	0	0	0	0	0	0	1	0
Arook	0	0	0	0	0	0	0	0
Arrabbiata sauce	0	0	0	0	0	0	0	0
Arròs negre	0	0	1	0	0	0	0	0
Arrosticini	0	0	0	0	0	0	0	0
Arroz a la cubana	0	1	0	0	0	0	0	0
Arroz a la valenciana	0	0	0	0	0	0	0	0
Arroz caldo	0	1	1	0	0	0	0	0
Arroz carreteiro	0	0	0	0	0	0	0	0
Arroz chaufa	0	1	0	1	0	0	0	1
Arroz con gandules	0	0	0	0	0	0	0	0
Arroz con pollo	0	0	0	0	0	0	0	0
Arroz de fríjol cabecita negra	0	0	0	0	0	0	0	0
Arroz gordo	0	1	1	1	0	0	0	0
Arroz junto	0	0	0	0	0	0	0	0
Arsik	0	0	1	0	1	0	0	0
Artichoke dip	1	0	0	0	0	0	0	0
Asado roll	0	1	0	0	0	0	0	0
Asam pedas	0	0	1	0	0	0	0	0
Asfanakhyh	0	0	0	0	0	0	0	0
Ash cake	0	0	0	0	0	0	1	0
Ash-e doogh	1	0	0	0	0	0	0	0
Asham	0	0	0	0	1	0	1	0
Ashke Pithe	0	0	0	0	0	0	1	0
Ashure	0	0	0	0	1	0	1	0
Asida	0	0	0	0	0	0	1	0
Asín tibuok	0	0	0	0	0	0	1	0
Asinan	0	0	0	0	0	1	0	0
Assidat Zgougou	0	0	0	0	1	0	1	0
Atama soup	0	0	1	0	0	0	0	0
Atchara	0	0	0	0	0	0	0	0
Atole	0	0	0	0	0	0	1	0
Au jus	0	0	0	0	0	0	0	0
Aush	1	0	0	0	0	0	1	0
Aush jushpare	0	0	0	0	0	0	1	0
Aush reshteh	0	0	0	0	0	0	1	0
Aushak	1	0	0	0	0	0	1	0
AussieMite	0	0	0	0	0	0	0	0
Avena	0	0	0	0	0	0	0	0
Avgolemono	0	1	0	0	0	0	1	0
Avial	1	0	0	0	0	0	0	0
Avoador	0	0	0	0	0	0	0	0
Avocado and milk in ice	1	0	0	0	0	0	0	0
Avocado soup	0	0	0	0	0	0	0	0
Awara broth	0	0	1	0	0	0	0	0
Axoa	0	0	0	0	0	0	0	0
Ayam bakar	0	0	0	0	0	0	0	1
Ayam buah keluak	0	0	1	0	1	0	0	0
Ayam bumbu rujak	0	0	0	0	0	0	0	0
Ayam geprek	0	0	0	0	0	0	1	0
Ayam goreng	0	0	0	0	0	0	0	0
Ayam goreng kalasan	0	0	0	0	0	0	0	0
Ayam kecap	0	0	0	0	0	0	0	1
Ayam kodok	0	1	0	0	0	0	1	0
Ayam masak merah	0	0	0	0	0	0	0	0
Ayam pansuh	0	0	0	0	0	0	0	0
Ayam penyet	0	0	0	0	0	0	0	0
Ayam pop	0	0	0	0	1	0	0	0
Ayam rica-rica	0	0	0	0	0	0	0	0
Ayam Taliwang	0	0	0	0	0	0	0	0
Ayigbe biscuit	0	1	0	0	0	0	1	0
Ayran	1	0	0	0	0	0	0	0
Ayva tatlısı	0	0	0	0	0	0	0	0
Azevia	0	1	0	0	0	0	1	0
Baba ghanoush	0	0	0	0	0	0	0	0
Babarsa	1	0	0	0	0	0	1	0
Babi hong	0	0	0	0	0	0	0	1
Babi kecap	0	0	0	0	0	0	0	1
Babi panggang	0	0	0	0	1	0	0	0
Babka	1	1	0	0	0	0	1	0
Baby food	0	0	0	0	0	0	0	0
Bacalao al ajoarriero	0	0	1	0	0	0	0	0
Bacalao al pil pil	0	0	1	0	0	0	0	0
Baccalà all abruzzese	0	0	1	0	0	0	0	0
Baccalà alla lucana	0	0	1	0	0	0	0	0
Baccalà mantecato	1	0	1	0	0	0	0	0
Baci di dama	0	0	0	0	1	0	1	0
Bacon	0	0	0	0	0	0	0	0
Bacon and cabbage	0	0	0	0	0	0	0	0
Bacon and egg pie	1	1	0	0	0	0	1	0
Bacon Deluxe	1	0	0	0	0	0	1	0
Bacon Explosion	0	0	0	0	0	0	1	0
Bacon ice cream	1	1	0	0	0	0	0	0
Bacon jam	0	0	0	0	0	0	0	0
Bacon sandwich	0	0	0	0	0	0	1	0
Bacon soup	1	0	0	0	0	0	0	0
Bacon sundae	1	0	0	0	0	0	0	0
Bacon, egg and cheese sandwich	1	1	0	0	0	0	1	0
Bacone	0	0	0	0	0	0	1	0
Badrijani	0	0	0	0	1	0	0	0
Baechu-kimchi	0	0	1	0	0	0	0	0
Baeckeoffe	0	0	0	0	0	0	0	0
Baek-kimchi	0	0	1	0	0	0	0	0
Baekseolgi	0	0	0	0	0	0	0	0
Baeksuk	0	0	0	0	0	0	0	0
Bağaça	0	0	0	0	0	0	1	0
Bagara khana	1	0	0	0	0	0	0	0
Bagel	0	0	0	0	0	0	1	0
Bagel dog	1	0	0	0	0	0	1	0
Bagel toast	1	0	1	0	0	0	1	0
Baghaar-e-baingan	0	0	0	0	0	0	0	0
Baghali ghatogh	0	1	0	0	0	0	0	0
Baghali polo	0	0	0	0	0	0	0	0
Baghrir	0	0	0	0	0	0	1	0
Bagna càuda	1	0	1	0	0	0	0	0
Bagnet	0	0	0	0	0	0	0	0
Bagnun	0	0	1	0	0	0	1	0
Bagoong	0	0	1	1	0	0	0	0
Bagoong fried rice	0	1	1	0	0	0	0	0
Bagoong monamon	0	0	1	0	0	0	0	0
Baguette	0	0	0	0	0	0	1	0
Baguio longganisa	0	0	0	0	0	0	0	0
Bah-oân	0	0	1	1	0	0	0	0
Bahulu	0	1	0	0	0	0	1	0
Bai pong moan	0	0	1	0	0	0	0	0
Baião de dois	0	0	0	0	0	0	0	0
Baicoli	1	1	0	0	0	0	1	0
Baingan bharta	0	0	0	0	0	0	0	0
Bajadera	1	0	0	0	1	0	0	0
Bajigur	0	0	0	0	0	0	0	0
Bajjaria	0	0	0	0	0	0	1	0
Bak kut teh	0	0	0	0	0	0	0	0
Bakakak hayam	0	0	0	0	0	0	0	0
Bakarkhani	1	0	0	0	0	0	1	0
Bakarwadi	0	0	0	0	0	0	1	0
Bakauke	0	0	1	0	0	0	0	1
Baked Alaska	1	1	0	0	0	0	1	0
Baked bean sandwich	1	0	0	0	0	0	1	0
Baked beans	0	0	0	0	0	0	0	0
Baked pork chop rice	1	0	0	0	0	0	0	0
Baked potato	1	0	0	0	0	0	0	0
Bakewell pudding	0	0	0	0	1	0	1	0
Bakewell tart	0	0	0	0	1	0	1	0
Bakkwa	0	0	1	0	0	0	0	1
Baklava	0	0	0	0	1	0	1	0
Bakmi	0	1	0	0	0	0	1	1
Bakpia	0	0	0	0	0	0	1	0
Bakpia pathok	0	0	0	0	0	0	1	0
Bakso	0	0	0	0	0	0	0	0
Bakwan	0	0	0	0	0	0	1	0
Bal mithai	1	0	0	0	0	0	0	0
Balado	0	0	0	0	0	0	0	0
Balaleet	0	1	0	0	0	0	0	0
Balao-balao	0	0	1	1	0	0	0	0
Balbacua	0	0	0	0	0	1	0	1
Balchão	0	0	1	0	0	0	0	0
Baleada	1	0	0	0	0	0	1	0
Balep korkun	0	0	0	0	0	0	1	0
Balikucha	0	0	1	0	0	0	0	0
Balila	0	0	0	0	0	0	0	0
Balisto	0	0	0	0	1	0	0	0
Balık çorbası	0	0	1	0	0	0	1	0
Ballokume	0	1	0	0	1	0	1	0
Balmoral chicken	1	0	0	0	0	0	0	0
Balparmak tatlısı	0	0	0	0	1	0	1	0
Balsamic vinegar	0	0	0	0	0	0	0	0
Balut	0	1	0	0	0	0	0	0
Balyk	0	0	1	0	0	0	0	0
Bamba	0	0	0	0	0	1	0	0
Bambalouni	0	0	0	0	0	0	1	0
Bamia	0	0	0	0	0	0	0	0
Bamischijf	0	1	0	0	0	0	1	1
Bammy	0	0	0	0	0	0	1	0
Bamsemums	0	0	0	0	0	0	0	0
Banana boat	0	0	0	0	0	0	0	0
Banana bread	0	1	0	0	0	0	1	0
Banana cream pie	1	1	0	0	0	0	1	0
Banana cue	0	0	0	0	0	0	0	0
Banana custard	1	1	0	0	0	0	0	0
Banana fritter	0	0	0	0	0	0	1	0
Banana ketchup	0	0	0	0	0	0	0	0
Banana pudding	1	0	0	0	0	0	1	0
Banana roll	1	1	0	0	0	0	1	0
Banana split	1	0	0	0	1	0	0	0
Bananas Foster	1	0	0	0	0	0	0	0
Banbury cake	1	1	0	0	0	0	1	0
Bandeja paisa	0	1	0	0	0	0	1	0
Bandrek	1	0	0	0	0	0	0	0
Bandung	1	0	0	0	0	0	0	0
Banga rice	0	0	1	0	0	0	0	0
Bangers and mash	1	0	0	0	0	0	1	0
Bánh	0	0	0	0	0	0	1	0
Bánh bao	0	1	0	0	0	0	1	0
Bánh bèo	0	0	1	0	0	0	0	0
Bánh bò	1	0	0	0	0	0	1	0
Bánh bột lọc	0	0	1	1	0	0	0	0
Bánh canh	0	0	1	1	0	0	1	0
Bánh cáy	0	0	0	0	0	0	1	0
Bánh chưng	0	0	1	0	0	0	1	0
Bánh chuối	0	0	0	0	1	1	0	0
Bánh cốm	0	0	0	0	0	0	1	0
Bánh cuốn	0	0	1	0	0	0	1	0
Bánh da lợn	1	0	0	0	0	0	0	0
Bánh đúc	1	0	0	0	0	0	1	0
Bánh gối	0	0	0	0	0	0	1	0
Bánh hỏi	0	0	1	1	0	0	0	0
Bánh in	1	0	0	0	0	0	0	0
Bánh khoai mì	0	0	0	0	0	0	0	0
Bánh lá	0	0	1	0	0	0	0	0
Bánh mì	0	0	0	0	0	0	1	0
Bánh phu thê	0	0	0	0	0	0	1	0
Bánh pía	0	0	0	0	0	0	1	0
Bánh rán	0	0	1	0	0	0	1	0
Bánh rế	0	0	1	0	0	0	1	0
Bánh tẻ	0	0	0	0	0	0	1	0
Bánh tét	0	0	0	0	0	0	1	0
Bánh tráng	0	0	1	1	0	1	0	0
Bánh xèo	0	0	1	1	0	0	1	0
Banitsa	1	1	0	0	0	0	1	0
Banket	0	1	0	0	1	0	1	0
Banku	0	0	0	0	0	0	1	0
Banmian	0	1	0	0	0	0	1	0
Banmian	0	1	0	0	0	0	1	0
Bannock	0	0	0	0	0	0	1	0
Bannu pulao	1	0	0	0	0	0	0	0
Banoffee pie	1	0	0	0	0	0	1	0
Banosh	1	0	0	0	0	0	1	0
Bansh	0	0	0	0	0	0	0	0
Banta	0	0	0	0	0	0	0	0
Bantan	0	0	0	0	0	0	0	0
Baozi	0	0	0	0	0	0	1	0
Bap	0	1	0	0	0	0	0	1
Bappir	0	0	0	0	0	0	1	0
Bar One	1	0	0	0	0	0	0	0
Bar-le-duc jelly	0	0	0	0	0	0	0	0
Bara brith	0	1	0	0	0	0	1	0
Barazek	0	0	0	0	1	0	1	0
Barbajada	1	0	0	0	0	0	0	0
Barbajuan	1	1	0	0	0	0	1	0
Barbari bread	0	0	0	0	0	0	1	0
Barbecue bologna	0	0	0	0	0	0	0	0
Barbecue sauce	0	0	0	0	0	0	0	0
Barbecue spaghetti	0	0	0	0	0	0	1	0
Barbine	0	0	0	0	0	0	0	0
Bardiccio	0	0	0	0	0	0	0	0
Barfi	1	0	0	0	1	0	0	0
Bariis iskukaris	0	0	0	0	0	0	0	0
Bark bread	0	0	0	0	0	0	1	0
Barley bread	0	0	0	0	0	0	1	0
Barley gruel	0	0	0	0	0	0	1	0
Barm cake	0	0	0	0	0	0	1	0
Barmbrack	0	1	0	0	0	0	1	0
Barny Cakes	0	1	0	0	0	0	1	0
Barquillo	0	1	0	0	0	0	1	0
Barraquito	1	0	0	0	0	0	0	0
Barriga de freira	0	1	0	0	0	0	0	0
Barros Jarpa	1	0	0	0	0	0	1	0
Barros Luco	1	0	0	0	0	0	1	0
Basbousa	1	0	0	0	1	0	1	0
Basler Brot	0	0	0	0	1	0	1	0
Basler Läckerli	0	0	0	0	1	0	0	0
Bastani	1	0	0	0	1	0	0	0
Basundi	1	0	0	0	1	0	0	0
Batagor	0	0	1	0	0	1	0	0
Batata harra	0	0	0	0	0	0	0	0
Batata vada	0	0	0	0	0	0	1	0
Bataw	0	0	0	0	0	0	1	0
Batchoy	0	0	1	1	0	0	1	1
Batchoy Tagalog	0	1	1	0	0	0	1	1
Bath bun	1	1	0	0	0	0	1	0
Bath chaps	0	0	0	0	0	0	0	0
Bath Oliver	1	0	0	0	0	0	1	0
Bati	0	0	0	0	0	0	1	0
Batik cake	1	1	0	0	0	0	1	0
Batsoà	0	0	0	0	0	0	0	0
Battenberg cake	1	1	0	0	1	0	1	0
Batter bread	0	0	0	0	0	0	1	0
Battered sausage	0	1	0	0	0	0	1	0
Bauernfrühstück	0	1	0	0	0	0	0	0
Bauru	1	0	0	0	0	0	1	0
Bavarian cream	1	1	0	0	0	0	0	0
Bavette	0	0	0	0	0	0	1	0
Bawang goreng	0	0	0	0	0	0	0	0
Baxin	0	0	0	0	0	0	0	0
Bay sach chruk	0	0	1	0	0	0	0	0
Baye baye	0	0	0	0	0	0	1	0
Bazhe	0	0	0	0	1	0	0	0
Bazin	0	0	0	0	0	0	1	0
Bazlama	0	0	0	0	0	0	1	0
Beach pizza	1	0	0	0	0	0	1	0
Bean pie	1	1	0	0	0	0	1	0
Bean salad	0	0	0	0	0	0	0	0
Bean sprouts chicken	0	0	0	0	0	0	0	1
Bear claw	1	1	0	0	1	0	1	0
Béarnaise sauce	1	1	0	0	0	0	0	0
Beaten biscuit	0	0	0	0	0	0	1	0
Bebinca	0	1	0	0	0	0	1	0
Béchamel sauce	1	0	0	0	0	0	1	0
Bedfordshire clanger	0	0	0	0	0	0	1	0
Beef and broccoli	0	0	0	0	0	0	0	1
Beef bourguignon	0	0	0	0	0	0	1	0
Beef bun	0	0	0	0	0	0	1	1
Beef chow fun	0	0	0	0	0	0	1	1
Beef kway teow	0	0	0	0	0	0	1	1
Beef Manhattan	0	0	0	0	0	0	1	0
Beefnoodle soup	0	0	0	0	0	0	1	1
Beef olives	0	0	0	0	0	0	1	0
Beef on weck	0	0	0	0	0	0	1	0
Beef Stroganoff	1	0	0	0	0	0	1	0
Beef Wellington	0	1	0	0	0	0	1	0
Beer bread	0	0	0	0	0	0	1	0
Beer cheese	1	0	0	0	0	0	0	0
Beer ice cream	1	1	0	0	0	0	0	0
Beer soup	1	1	0	0	0	0	1	0
Beetroot cake	0	1	0	0	0	0	1	0
Beggar s chicken	0	0	0	0	0	0	0	1
Begodya	0	0	0	0	0	0	0	0
Beguni	0	0	0	0	0	0	1	0
Beignet	1	1	0	0	0	0	1	0
Beijinho	1	0	0	0	0	0	0	0
Beika	0	0	0	0	0	0	0	0
Bein mont	0	0	0	0	1	0	0	0
Beirute	0	0	0	0	0	0	1	0
Beji	0	1	0	0	0	0	1	0
Bela biscuit	0	0	0	0	0	0	1	0
Bela Pana	1	0	0	0	0	0	0	0
Belekoy	0	0	0	0	0	0	1	0
Belgian bun	1	1	0	0	0	0	1	0
Belgian waffle	1	1	0	0	0	0	1	0
Belokranjska povitica	1	1	0	0	0	0	1	0
Benedictine	1	0	0	0	0	0	0	0
Benne dose	0	0	0	0	0	0	0	0
Bensone	0	0	0	0	0	0	0	0
Beondegi	0	0	0	0	0	0	0	1
Berger Cookies	1	1	0	0	0	0	1	0
Berlingozzo	0	1	0	0	1	0	1	0
Bermuda fish chowder	0	0	1	0	0	0	0	0
Berner Haselnusslebkuchen	0	1	0	0	1	0	1	0
Berner Honiglebkuchen	0	1	0	0	1	0	1	0
Berry chantilly cake	1	1	0	0	0	0	1	0
Bertie Beetle	0	0	0	0	0	0	0	0
Besan chakki	0	0	0	0	1	0	0	0
Bethmännchen	0	0	0	0	1	0	0	0
Bêtise de Cambrai	0	0	0	0	0	0	0	0
Better than sex cake	1	0	0	0	1	0	1	0
Betutu	0	0	0	1	1	0	0	0
Beurre Maître d Hôtel	1	0	0	0	0	0	0	0
Beurre monté	1	0	0	0	0	0	0	0
Beurrenoir	1	0	0	0	0	0	0	0
Beurrenoisette	1	0	0	0	1	0	0	0
Beuschel	0	0	0	0	0	0	1	0
Beyran soup	0	0	0	0	0	0	1	0
Bhaji	0	0	0	0	0	0	0	0
Bhakkha	0	0	0	0	0	0	1	0
Bhakri	0	0	0	0	0	0	1	0
Bhapa pitha	0	0	0	0	0	0	1	0
Bhatura	1	0	0	0	0	0	1	0
Bhel puri	0	0	0	0	0	0	1	0
Bhindi fry	0	0	0	0	0	0	0	0
Bhoonja	0	0	0	0	0	0	0	0
Bhurta	0	0	0	0	0	0	0	0
Bhutan	1	0	0	0	0	0	0	0
Bialy	0	0	0	0	0	0	1	0
Biangbiangnoodles	0	0	0	0	0	0	1	0
Bibikkan	0	1	0	0	1	0	0	0
Bibim-guksu	0	1	0	0	0	0	1	1
Bibimbap	0	1	0	0	0	0	0	1
Bibingka	1	1	0	0	0	0	0	0
Bica	0	1	0	0	0	0	1	0
Bichak	0	0	0	0	1	0	1	0
Bichon au citron	0	1	0	0	0	0	1	0
Bicol express	0	0	1	0	0	0	0	0
Bienenstich	1	1	0	0	1	0	1	0
Bierock	0	0	0	0	0	0	1	0
Bigilla	0	0	0	0	0	0	0	0
Bigoli	0	0	0	0	0	0	1	0
Bigoli in salsa	0	0	1	0	0	0	0	0
Bigos	0	0	0	0	0	0	0	0
Bihun goreng	0	1	1	0	0	0	1	1
Bika ambon	0	1	0	0	0	0	1	0
Bikaneri bhujia	0	0	0	0	0	0	1	0
Biko	1	0	0	0	0	0	0	0
Biłgoraj pierogi	1	0	0	0	0	0	1	0
Bilo-bilo	1	0	0	0	0	0	1	0
Biltong	0	0	0	0	0	0	0	0
Binagol	0	0	0	0	1	0	0	0
Binagoongan	0	0	0	1	0	0	0	0
Binaki	0	0	0	0	0	0	1	0
Binakle	0	0	0	0	0	0	0	0
Binakol	0	0	1	0	0	0	0	0
Binangkal	0	0	0	0	0	0	1	0
Binatog	0	0	0	0	0	0	0	0
Bindae-tteok	0	0	0	0	0	0	1	1
Bing	0	0	0	0	0	0	1	0
Bingsu	1	0	0	0	1	0	0	0
