Ingredient	Count in HER
Canned diced tomatoes	27
Canned Mandarin Oranges	115
Canned Pineapple Chunks	3
Canned tomatoes	3230
Canned tuna	5252
Cannellini beans	117
Cannelloni	28
Cannoli shells	1
Canola oil	30693
Cantal cheese	0
Capellini	914
capers	2806
Capicola	14
Capsanthin	0
Capsicum	1369
Carambola	1183
Caramel	7040
Caramel color	355
Caramel filling	1
Caramel pieces	1
caramel sauce	209
Caramelized onions	31
Caramelized sugar	4
Caraway	1135
Caraway seed	108
Caraway seeds	60
Carbon dioxide	48860
Carbonated beverage (such as soda or root beer)	0
cardamom	727
Cardamom pods	4
Cardamom powder	3
Carmine	8827
Carnauba wax	149
Carne asada	59
Carne norte	0
Carne salada	0
Carnitas	99
Carom seeds	3
Carp	2535
Carp fish	2
Carrageenan	461
carrot	34757
carrots	131599
Cașcaval	0
Casein	9073
Cashew nuts	4171
Cashews	22988
Cassareep	0
cassava	391
Cassava dough	2
Cassava flour	51
Cassava leaf	4
Cassava leaves	4
Cassia flower buds	0
Cassis liqueur	0
Caster sugar	0
Catfish	5480
Cauliflower	75920
Cauliflower florets	16
Caviar	271
Cayenne	5748
cayenne pepper	2410
Cebolla	273
Celeriac	57
celery	166786
Celery root	36
Celery salt	5536
Celery seed	289
Cendol	0
Century egg	0
Cereal	279791
Chaat masala	0
Chamoy	3
Chamoy sauce	1
Chana dal	12
Chancaca	0
Chapaleles	0
Chapati	509
Char siu (Chinese BBQ pork)	0
Char siu pork	1
Charcoal	14707
Charoset	1
Chashu pork	0
Chat Masala	0
Chayote	1018
cheddar cheese	12018
cheese	348458
Cheese (such as goat cheese or cream cheese)	0
Cheese Culture	10
Cheese curds	324
Cheese sauce	1733
Cheese slice	503
Cheeseburger or hamburger patty	0
Cheeses	66439
Cheesesteak	199
Cheongju (rice wine)	0
Cherries	28121
Cherry	168190
Cherry jam	50
Cherry leaves	0
cherry pie	512
Cherry pie filling	24
Cherry pits	47
Cherry syrup	819
Cherry tomatoes	3123
Chervil	13
Chestnut flour	2
Chestnuts	4541
Chex cereal	887
Chhena	0
Chia seeds	10889
Chicatanas	0
Chicharron	3
Chicharrón	0
chicken	477127
Chicken blood	21
chicken breast	18019
chicken broth	16671
Chicken chaat	0
Chicken cutlets	37
Chicken extract	3
Chicken fat	250
chicken feet	19
Chicken fillet	636
chicken gizzard	3
chicken heart	6
Chicken hearts	4
Chicken intestines	0
Chicken leg	619
chicken liver	3170
Chicken livers	177
Chicken neck skin	1
Chicken or beef	123631
Chicken or beef broth	121953
Chicken or lamb	135
Chicken or other protein	69
Chicken or pork	1879
Chicken or veal stock	0
Chicken or vegetable broth	34
Chicken pieces	224
Chicken salad	11804
Chicken skin	1245
Chicken slices	47
Chicken stock	317
chicken thigh	835
Chicken thighs	1037
Chicken tikka	108
chicken wings	4230
Chickpea flour	175
Chickpea flour noodles	0
chickpeas	25079
Chikuwa	1
Chile peppers	12
Chilean chili sauce	0
Chiles	6809
chili	28051
Chili bean paste	0
chili flakes	112
Chili leaves	0
chili mayo	1
chili oil	27
chili paste	32
Chili pepper	327
Chili pepper extract	6
Chili pepper flakes	3
chili peppers	1308
Chili powder	1132
chili sauce	184
Chili seasoning	24
Chilies	937
Chilli	962
Chilli paste	1
Chilli sauce	4
Chimichurri	11
Chimichurri sauce	4
Chinese BBQ pork	1
Chinese broccoli	21
Chinese cabbage	9679
Chinese chives	3
Chinese five-spice powder	2
Chinese hotpot base	0
Chinese mesona	0
Chinese mushrooms	14
Chinese noodles	155
Chinese parsley	85
Chinese sausage	8
Chipotle Chilies	0
Chipotle peppers	8
Chips	277178
Chives	5738
chocolate	247260
Chocolate bars	745
Chocolate biscuits	18
Chocolate cake mix	6
Chocolate chip cookie dough pieces	0
Chocolate chips	4471
Chocolate chunks	44
Chocolate coating	32
Chocolate cookie crust	0
Chocolate for topping	0
chocolate ganache	5
Chocolate glaze	3
Chocolate ice cream	3481
Chocolate icing	20
Chocolate liquor	15
Chocolate pieces	146
Chocolate sandwich cookies	7
Chocolate sauce	589
Chocolate shavings	5
Chocolate sprinkles	19
Chocolate syrup	13443
Chocolate wafer cookies	8
choice of meat	9
Choline bitartrate	251
Chopped coriander leaves	0
Chopped green chilies	0
Chopped Hazelnuts	0
Chopped herbs	4
Chopped nuts	926
Chopped nuts (such as almonds or walnuts)	0
Chopped onions	49
Chopped parsley	21
Chopped pecans	568
Chopped tomatoes	94
Chopped white onions	0
chorizo	396
Chorizo sausage	21
Chourico	0
Chouriço	0
Choux pastry	0
Choux pastry dough	0
Choy sum (Chinese leafy green vegetable)	0
Chueo (Korean bracken fern)	0
chutney	2773
cilantro	4298
Cilantro roots	0
Cilantro stems	0
cinnamon	206818
cinnamon powder	42
cinnamon stick	158
cinnamon sticks	280
Citric acid	16406
Citron	315
Citrus zest	4
Civet cat's digestive enzymes	0
clams	56595
Clarified butter	138
Clementines	4049
Clotted cream	6
Cloud ear fungus	0
Cloudberries	27
Clove	3420
cloves	3411
Club soda	900
Coagulant	146292
Coarse sea salt	3
Coca-Cola	9544
Coca-Cola syrup	22
Cockles	18
Cocktail sauce	2767
Cocktail sausage	11
Cocoa	42740
Cocoa (Processed with Alkali)	23
Cocoa beans	411
cocoa butter	21701
cocoa mass	2
cocoa powder	1034
Cocoa powder for rolling	0
Cocoa solids	1
coconut	68798
coconut cream	918
coconut flakes	511
Coconut jelly	4
Coconut meat	20
coconut milk	12599
Coconut oil	37012
Coconut paste	6
Coconut pieces	11
Coconut shavings	12
Coconut water	4768
Cocoyam	1
Cod	32259
Cod roe	4
Codfish	2574
coffee	577358
Coffee beans	229
Coffee fondant	0
Cognac	654
Cola	90130
Cold water	67478
coleslaw	10791
Collard greens	6720
Colocasia	1
Colocasia leaves	0
Color (Anthocyanins)	0
Color (curcumin)	1
Color (Paprika Extract)	0
Color added	79
Colorants	198
Colored Sugar (purple, green, gold)	0
Colored sugar sprinkles	0
Coloring agents	92
Colorings	320
Colors (Yellow 5, Red 40, Blue 1)	0
Colour	4695
Colour (Annatto)	0
Colour (beta-carotene)	0
Colour (Carotenes)	0
Colour (Curcumin)	0
Colourings	3
Colours	272
Colours (Anthocyanins, Paprika Extract, Curcumin, Chlorophylls, Beetroot Red)	0
Comino	5
Comté cheese	0
Concentrated orange juice	18
Conch	169
Conchiglie	0
condensed milk	1323
Condiments	29545
Cone	157916
Cone coating	0
Confectioner's glaze	8
Confectioners' sugar	12
Conger eel	0
Cooked beef	201
Cooked carrots	4353
Cooked chicken	2344
Cooked crab meat	0
Cooked eggs	4167
Cooked flippers	0
Cooked ham	31
Cooked jasmine rice	5
Cooked peas	638
cooked rice	33707
Cooked shredded chicken	9
Cooked shrimp	463
Cooked shrimp or chicken	0
Cookies	81592
cooking oil	1995
Cooking wine	2285
Cool Whip	983
Copha	84
Copper gluconate	693
Coregone fish	0
coriander	4335
Coriander leaves	6
Coriander powder	2
coriander roots	0
Coriander seed	18
Coriander seeds	17
corn	266605
Corn dough	2
corn flour	238
Corn grits	158
Corn husks	28
corn kernels	453
corn masa	7
Corn masa dough	0
Corn Meal	457
Corn on the cob	8906
Corn starch	4749
Corn syrup	29848
Corn syrup solids	3651
Corn tortilla	20827
Corn tortillas	12679
Cornbread	4061
Corned beef	4205
Cornflakes	1403
Cornflour	8
Cornichons	1
Cornmeal	5659
Cornmeal coating	3
cornstarch	7096
Cotechino sausage	0
Cottage cheese	93631
Couscous	12434
Cow cod	0
Cow's feet	1
Cow's innards	0
Cow's lungs	0
Cow's milk	64993
Cow's tongue	0
Cow's tripe	0
cowpeas	101
crab	20313
Crab fat	1
Crab meat	689
Crab paste	0
Crab Rangoon	164
Crab roe	0
Crab stick	5
crackers	255222
Cranberries	24107
Cranberry Sauce	5846
Crawfish	704
Crayfish	422
cream	844550
cream cheese	25697
cream cheese frosting	60
Cream of chicken soup	432
Cream of mushroom soup	734
cream of tartar	158
Creamy peanut butter	1724
Crema	1452
Crema Mexicana	0
Creme de cacao liqueur	0
Creme de menthe liqueur	0
Crème fraîche	0
Creole seasoning	12
Crêpes	0
Crescent roll dough	3
Cress	462
Crispy fried wonton	0
Crispy fried wonton wrappers	0
Crispy pastry shell	0
Croissant dough	2
Croutons	4611
Crow	8527
Crushed candy canes	0
crushed pineapple	479
Crushed red pepper flakes	3
Crushed tomatoes	75
Crusty bread bun	0
Cuban bread	1
Cube steak	230
cucumber	55277
Cucumbers	25972
Culantro	0
Cultured milk	56
cumin	5032
Cumin powder	11
cumin seeds	279
Curacao liqueur	0
Curacha	0
Curanto leaves	0
Curd	3676
Curd cheese	7
Cured meats	6005
Curing salt	1
currants	212
Currants or raisins	1
Curry	32585
Curry filling	0
Curry ketchup	1
Curry leaves	12
Curry paste	571
Curry powder	1243
Curry roux	0
Curry sauce	116
Curtido	0
Custard	13539
Custard cream	3493
Custard filling	4
Custard powder	1
Cuttlefish	22
Dabeli masala	0
Daechu-gom	0
Daikon	1063
daikon radish	24
Dangmyeon noodles	0
Dark beer	1245
Dark brown sugar	9
dark chocolate	10837
Dark muscovado sugar	0
Dark rum	11
dark soy sauce	1
Dashi	44
Dashi broth	1
Dashi stock	0
Datem	22
Dates	473677
Daun Kesum leaves	0
Daun Salam leaves	0
Daylily buds	0
Dehydrated Chicken Meat	0
Dehydrated green and red bell peppers	0
Dehydrated lime juice	0
Dehydrated onions	3
Dehydrated vegetables	22
Deli meats	7283
Demi-glace sauce	0
Dende oil	0
desiccated coconut	3
Dessert	66318
Dextrose	194876
Diced tomatoes	684
Digestive biscuits	18
Dijon mustard	302
Dill	4065
Dill pickle spear	9
Dill seeds	2
Dinner rolls	363
Dip	272302
Dipping sauce	299
Dipping sauces	185
Disodium guanylate	21
Disodium inosinate	28
Disodium Phosphate	685
Distilled vinegar	720
Dock leaves	0
Doenjang	0
Dog meat	19
Dolmades	0
Doner kebab meat	0
Donkey meat	0
Donut	30714
Doubanjiang	0
Double cream	38
Dough	10191
Dough conditioner	8
Dressing	813780
Dried acai berries	0
Dried anchovies	0
Dried apples	183
Dried apricots	2473
Dried baby sardines	0
Dried bamboo shoots	0
Dried bananas	71
Dried baobab leaves	0
Dried bean curd	4
Dried bean curd knots	0
Dried bean curd sheets	0
Dried bean curd sticks	0
Dried beef	201
Dried bellflower roots	0
Dried black	191
Dried black currants	0
Dried black fungus	0
Dried black raspberries	0
Dried blackberries	2
Dried blueberries	605
Dried bonito flakes	0
Dried boysenberries	0
Dried cassava	0
Dried cherimoyas	0
Dried cherries	1498
Dried chili	5
Dried chili peppers	3
Dried chilies	2
Dried clementines	1
Dried cloudberries	0
Dried coconut	64
Dried coconuts	0
Dried cranberries	5401
Dried currants	8
Dried cuttlefish	1
Dried dates	56
Dried daylily buds	0
Dried dewberries	0
Dried durians	0
Dried egg	26
Dried egg noodles	1
Dried elderberries	1
Dried figs	364
Dried fish	91
Dried fruit	39395
dried fruits	21602
Dried fruits (such as raisins, apricots, or figs)	0
Dried goji berries	9
Dried golden raspberries	0
Dried gooseberries	0
Dried grapefruits	0
Dried guavas	0
Dried haricot beans	0
Dried huckleberries	0
Dried jackfruits	0
Dried kiwis	1
Dried kumquats	1
Dried lemons	0
Dried lily buds	0
Dried lily bulbs	0
Dried Lily Flowers	0
Dried lime	3
Dried limes	1
Dried lingonberries	0
Dried loganberries	0
dried longan	1
Dried longans	0
Dried lychees	0
Dried mandarins	0
Dried mangoes	55
Dried marionberries	0
Dried meat	29
Dried mint	8
Dried miso	0
Dried mulberries	1
Dried oranges	4
Dried papayas	0
Dried passion fruits	0
Dried peaches	228
Dried pears	17
Dried persimmons	0
Dried pineapples	5
Dried plums	104
Dried pomegranates	0
Dried potatoes	32
Dried purple raspberries	0
Dried radish greens	0
Dried rambutans	0
Dried raspberries	8
Dried red chili peppers	0
Dried red chilies	1
Dried red currants	0
Dried red dates	0
Dried red raspberries	0
Dried river algae	0
Dried salmonberries	0
Dried scallops	0
Dried seaweed	507
Dried shiitake mushrooms	9
Dried shiso leaves	0
Dried shredded squid	0
dried shrimp	23
Dried shrimps	0
Dried skim	5
Dried skimmed milk	0
Dried soursops	0
Dried split fava beans	0
Dried Squid	16
Dried strawberries	251
Dried tangerine peel	0
Dried tangerines	8
Dried tofu skin	1
Dried whey	2
Dried whey (milk)	1
Dried white currants	0
Dried wineberries	0
Dried yellow peas	0
Dried yellow raspberries	0
Drumstick	903
Drumsticks	726
Dry fish	121
Dry fruits	285
Dry ginger powder	0
Dry mango powder	0
Dry red chilies	0
Dry rub	400
duck	25616
Duck blood	3
Duck breast	15
Duck broth	0
Duck confit	0
Duck eggs	180
Duck embryo	10
Duck fat	16
Duck legs	2
Duck liver	8
Duck meat	13
Duck, chicken or quail eggs	0
Dulce de leche	12
dumpling wrappers	0
Dumplings	1879
Durian	93
Durum wheat flour	3
Durum wheat semolina	7
E476	3
Edamame	11369
Edamame beans	114
Edible flowers	4
Edible food coloring	0
Edible gum	2
Edible oil	30
Edible Salt	1
Edible vegetable oil	2
Eel	3995
Eels	6801
egg	228503
Egg batter	27
Egg butter	82
Egg dishes	838
Egg noodles	3145
Egg roll wrappers	4
Egg rolls	657
Egg salad	5888
egg wash	66
Egg white powder	54
egg whites	11441
Egg yolk	6955
egg yolks	9133
eggplant	35079
Eggplants	375
eggs	378906
Elbow macaroni	4002
Electricity	15286
Elephant Apple	1
Emmer wheat	0
Emping (melinjo chips)	0
Emping crackers	0
Emulsifier	270
Emulsifier (soy lecithin)	1
emulsifier (soya lecithin)	0
emulsifiers	1454
Emulsifiers (E442, E476)	0
Emulsifiers (E471, sunflower lecithin)	0
Emulsifiers (Mono- and Diglycerides of Fatty Acids, Ammonium Phosphatides)	0
Emulsifiers (mono- and diglycerides of fatty acids, sunflower lecithin)	0
Emulsifiers (soya lecithin, E476)	0
Emulsifiers (soya lecithin, mono- and diglycerides of fatty acids)	0
Enchilada sauce	106
Endive	5145
English muffins	8470
Eno fruit salt	2
Enoki mushrooms	8
Enriched flour	3240
Enriched Pasta	271
Enriched wheat flour	60
Enzymes	298771
Escamol	0
Escarole	3216
Eskimo lollies	0
Espelette pepper	0
Espresso	3027
Espresso coffee beans	0
Evaporated milk	4366
Extra virgin olive oil	9490
Extra-virgin olive oil	9490
Fabes	48
Fajita seasoning	19
Falafel	829
Fanta	5932
Farina	3530
Farinha de trigo	0
Farmer's cheese	34
Farsan	2
Fat	826549
Fat reduced cocoa	0
Fat-reduced cocoa powder	0
Fat-reduced cocoa powder (7.4%)	0
Fava beans	2203
FD&C Red 40	105
Fennel	11121
Fennel seed	1626
fennel seeds	810
Fenugreek	7952
Fenugreek leaves	6
Fenugreek seeds	53
Fermentation starter	0
Fermented anchovy sauce	0
Fermented bean paste	1
fermented black beans	1
Fermented brine	0
Fermented cow's milk	0
Fermented leafy greens	0
Fermented milk culture	0
Fermented pork skin	0
Fermented Rice Wash	0
Fermented rice wine	0
fermented shrimp paste	0
Fermented skate	3
Fermented sour cream	0
fermented soybean	49
fermented soybean paste	2
fermented soybeans	50
Fermented tea leaves	0
Fernbrake (gosari)	0
Ferric phosphate	2
Ferrous sulfate	284834
feta cheese	2531
Fettuccine	465
field peas	9
Fig	6995
Figs	20469
Filling	448219
Filling (beans, cheese, or other ingredients)	0
Filling (cheese, pork, chicken, or beans)	0
Filling (fruit, poppy seed, nut, etc.)	0
Filling (meat, cheese, vegetables)	0
Filling (meat, fish, or vegetable)	0
Filling (meat, vegetables, etc.)	0
Filling (such as chicken, mushrooms, seafood, or vegetables)	0
Filling (varies)	1
Filling of choice	0
Fillings (such as salmon, tuna, pickled plum, etc.)	0
Fillings (such as seasoned vegetables, meat, or fish)	0
Fillings (such as sesame paste, red bean paste, or peanut paste)	0
Fillings (such as vegetables, mushrooms, or sweet fillings like red bean paste)	0
Filo dough	11
Finely chopped green chilies	0
Finely chopped onions	2
Firm tofu	1508
fish	609544
Fish (such as tuna, salmon, or shrimp)	0
Fish (usually leftover fried fish)	0
Fish balls	38
Fish broth	72
Fish cake	43
Fish cakes	25
Fish crackers	1354
Fish curry	37
Fish curry paste	0
Fish dishes	57
fish fillet	235
Fish fillets	515
Fish fingers	12
Fish head	15
Fish heads	5
Fish maw	0
Fish or seafood broth	0
Fish paste	8
Fish protein (Alaska Pollock and/or Pacific Whiting), water, wheat starch, sugar, egg whites, sorbitol, crab extract, natural and artificial flavorings, sodium tripolyphosphate, tetrasodium pyrophosphate, color additives (paprika, carmine), and sodium pyrophosphate.	0
fish sauce	285
Fish sauce dressing	0
Fish stock	14
Fishcake	2
Five-spice powder	2
Flaked almonds	1
Flat rice noodles	0
Flatbread	1092
Flattened rice	14
Flavored syrup	250
Flavored syrups	96
Flavoring	13236
Flavoring (such as fruit juice or extract)	0
Flavoring oil	6
Flavoring syrup	17
Flavorings	8796
Flavors	29813
Flavour enhancers	0
Flavouring	36
Flavourings	10
Flavours	38
Flaxseed	41046
Flaxseeds	9300
Flies	12422
flour	65806
Flour crisps	2
Flour tortilla	2915
Flour tortillas	2221
Foam	219166
Foie gras	22
Folic acid	241441
Fondant	40
Fondant icing	4
Fontina	18
Fontina cheese	9
Food acids	4
Food coloring	11388
Food starch-modified	13
Food-grade colors	0
Four-angled bean	0
Freekeh	23
French baguette	59
French bread	4749
French fried onions	18
French fries	34612
French tacos	0
Fresh anchovies	0
Fresh basil	1239
Fresh basil leaves	3
Fresh berries	1118
Fresh cabbage	22
Fresh cilantro	408
Fresh coconut	60
Fresh coconut milk	3
Fresh coriander	90
Fresh coriander leaves	3
Fresh dill	18
Fresh duck blood	0
Fresh fish	587
Fresh fruit	27484
Fresh fruits	69906
Fresh ginger	2048
Fresh green beans	306
Fresh herbs	6498
Fresh herbs (cilantro, dill, parsley)	0
Fresh herbs (such as basil or oregano)	0
Fresh herbs (such as parsley, chives, tarragon)	0
Fresh herbs (such as thyme, rosemary, and parsley)	0
Fresh mango slices	1
Fresh mint	160
Fresh mozzarella	1063
Fresh mozzarella cheese	28
Fresh oregano	7
Fresh parsley	53
Fresh pigeon peas	0
Fresh red chilies	0
Fresh snow	49
Fresh strawberries	1694
